股票代码,股票简称,公告日期,营业收入,营业收入同比增长,营业收入季度环比,净利润,净利润同比增长,净利润季度环比,每股收益,每股净资产,净资产收益率,销售毛利率,每股经营现金流量
837821,则成电子,2022-06-08 00:00:00,65517072.24,41.8590270491,-40.8511,2420478.76,-69.22,-72.2684,0.0445,5.673412771875,0.79,20.4417216187,0.013375891728
688297,中无人机,2022-06-07 00:00:00,856355163.16,6.4434661987,59.5965,134515149.41,-23.35,5494.8158,,2.411660849611,10.92,22.7756428174,0.12736893587
688047,龙芯中科,2022-06-07 00:00:00,181478293.44,-37.0792066164,,36422454.24,-41.74,,0.1,3.985208248194,2.58,61.0026907084,-0.527264842056
301156,美农生物,2022-06-06 00:00:00,106122346.48,-20.5547883941,,14760900.08,-28.4,,,5.648259553667,4.45,29.3089470707,-0.330968028667
001323,慕思股份,2022-06-06 00:00:00,1244772745.73,0.197048891,,124100304.76,-9.07,,0.34,7.472975841806,4.72,45.0099466543,-0.866818970222
688349,三一重能,2022-06-02 00:00:00,2048413708.62,-2.9640728191,,596745637.79,24.18,,0.6037,4.564259726383,14.23,25.9340348634,-0.967226102185
301112,信邦智能,2022-06-02 00:00:00,175326307.14,91.4958717308,,22803034.62,100.04,,0.28,6.215056178269,,28.5937267874,-0.228988447514
301220,亚香股份,2022-06-01 00:00:00,188718273.5,38.6022511817,,30746960.53,79.24,,0.51,12.769248410561,4.04,34.0379841277,0.724953025248
301238,瑞泰新材,2022-05-30 00:00:00,2007801117.57,150.8396625992,,287767995.34,254.67,,0.52,5.158220303345,10.67,22.6447108606,0.2942162574
000420,吉林化纤,2022-05-28 00:00:00,936708952.28,4.9183417777,-2.5532,-48998432.96,-254.66,62.4693,-0.0226,1.343795596019,-1.67,9.4438006901,0.002203092298
831278,泰德股份,2022-05-27 00:00:00,67138688.96,15.1057791771,-15.4581,5411277.39,-0.7505849762,-49.9027,0.05,2.229925393127,2.07,30.105902622,-0.068908184441
688327,云从科技,2022-05-26 00:00:00,213105594.11,67.0172578625,,-115814894.83,45.52,,-0.19,1.75352430415,-9.62,40.3737521013,-0.325274578482
301286,侨源股份,2022-05-24 00:00:00,188981407.19,2.4692301678,,21317650.89,-59.14,,0.06,2.329181636591,2.58,27.0865558158,-0.004948935461
001316,润贝航科,2022-05-23 00:00:00,123009021.83,-28.8214280099,,18809609.03,-18.68,,0.31,8.223397303667,3.88,31.890043524,-0.129339679
688348,昱能科技,2022-05-19 00:00:00,173566128.51,51.6092928832,,30721655.29,123.87,,0.51,5.3714153645,10.0,40.2147240531,0.720691461
688213,思特威,2022-05-19 00:00:00,437882552.13,-18.9924288028,-32.2866,14111059.31,-79.44,-81.8803,0.04,7.346304375,0.54,26.1301766086,-1.035429599472
603272,联翔股份,2022-05-19 00:00:00,52219013.46,1.3,,9934274.54,27.3,,0.13,4.426323735963,2.93,46.2284643284,-0.028622698203
001318,阳光乳业,2022-05-19 00:00:00,119673773.53,4.71,,24550388.43,4.7,,0.1158,2.709173918051,4.19,34.9027253741,-0.041031040479
688120,华海清科,2022-05-18 00:00:00,348378185.07,192.8508639284,,91235982.86,121.61,,1.14,11.246902350625,10.68,47.3288626459,-0.8505291405
301266,宇邦新材,2022-05-18 00:00:00,467128183.7,68.6255820844,,20127424.03,-17.7,,0.26,8.828580792051,2.97,11.046815643,-1.521386596795
301233,盛帮股份,2022-05-18 00:00:00,71531806.08,-2.1076380111,-16.3096,14716250.99,-27.46,-11.6437,0.3813,10.043388067358,3.87,39.1006892217,0.307653804404
001226,拓山重工,2022-05-18 00:00:00,216776661.09,-12.8907340405,,25754403.29,-0.54,,0.46,6.51206531875,7.32,21.2289839038,-0.300056118214
688251,井松智能,2022-05-17 00:00:00,80067497.22,953.5167337818,,16171187.42,281.4351650074,,0.36,5.622959085958,6.67,21.406026484,-0.587462296182
688119,中钢洛耐,2022-05-17 00:00:00,655960743.71,-3.1031527035,,38886880.44,-17.9,,0.0432,2.072382717767,2.11,21.3994039759,-0.024917648433
301298,东利机械,2022-05-17 00:00:00,138182423.92,7.921037995,28.22,12334675.67,-16.37,102.9381,0.11,4.129155301818,2.75,29.6117340825,0.151375520273
301153,中科江南,2022-05-17 00:00:00,76979099.69,31.22,,-1152184.42,85.18,,-0.01,6.838488764938,-0.21,54.8585989834,-1.712774874074
301125,腾亚精工,2022-05-17 00:00:00,100870885.92,-3.5248971753,,12424429.41,-7.47,,0.23,6.008935206446,3.89,25.9013234311,0.079620766667
301257,普蕊斯,2022-05-16 00:00:00,120869514.08,24.4267310303,,9758558.93,-0.1941933024,,0.22,5.302259937556,4.17,22.1979674232,-0.500336697111
001270,铖昌科技,2022-05-16 00:00:00,20226908.85,306.6063492936,,10581502.33,355.44,,0.1262,8.443722628814,1.51,75.7744454363,-0.610443919222
688235,百济神州,2022-05-14 00:00:00,1947858000.0,-50.4222307856,42.9686,-2866345000.0,-965.9,32.514,-2.15,28.076880492691,-7.41,78.6945968341,-1.469732676074
838171,邦德股份,2022-05-13 00:00:00,68604210.87,18.9765519556,12.0963,10948074.76,12.7917659046,54.4865,0.11,2.556643518139,4.44,31.2402863734,-0.097022451662
688981,中芯国际,2022-05-13 00:00:00,11854010000.0,62.5627180398,15.5402,2843451000.0,175.5,-16.7321,0.36,14.196865455686,2.6,41.1715360456,1.317106880382
301191,菲菱科思,2022-05-13 00:00:00,595307501.41,42.2570320567,,66940454.97,81.18,,1.67,14.23606164825,12.49,16.0572410265,2.67279414725
301160,翔楼新材,2022-05-13 00:00:00,296802242.59,26.3120883928,,32849637.39,5.37,,0.59,11.983514906429,5.02,20.3264809469,-0.050161669464
836871,派特尔,2022-05-12 00:00:00,41225825.61,-8.4686653686,2.7288,5849631.05,-26.5919651515,5.8224,0.11,2.387810473754,4.7,28.0651451094,-0.036663082621
834639,晨光电缆,2022-05-12 00:00:00,305297454.01,-5.8300479243,-52.2308,4356875.97,215.0896940624,-81.2281,0.03,4.320792645643,0.72,11.8730588034,-1.062138359929
603097,江苏华辰,2022-05-11 00:00:00,180964230.9,7.41,,28658799.41,173.63,,0.24,4.446125241583,5.52,20.0280786925,-0.25200408225
600679,上海凤凰,2022-05-11 00:00:00,413919659.58,-23.3950795347,-5.9038,24396846.1,14.7,66.7982,0.0473,4.832534348408,0.9831,16.275771148,-0.033803410349
301183,东田微,2022-05-11 00:00:00,100032371.48,-9.9262165448,,14333086.25,-18.71,,0.24,7.240055185833,3.35,28.1125168222,0.284807778
301107,瑜欣电子,2022-05-11 00:00:00,170505493.81,18.3369942531,-12.7056,18145396.65,0.06,-29.1994,0.33,7.804070654916,4.32,20.4002910538,0.394343699437
001319,铭科精技,2022-05-11 00:00:00,228993160.94,29.02,,24043804.47,17.91,,0.23,6.418940287223,3.59,26.2991514475,0.083944660632
688045,必易微,2022-05-09 00:00:00,167932935.1,13.1500450356,,29174733.95,30.34,,0.56,9.394678160326,6.2,37.3828596056,-1.139901863683
603206,嘉环科技,2022-05-05 00:00:00,714187497.19,26.11,,28607668.42,68.84,,0.12,4.061203939076,3.13,15.8811064344,-1.982671066501
689009,九号公司,2022-04-30 00:00:00,1917319776.83,7.8007679485,-1.3505,38446566.69,51.32,72.3356,0.55,6.127868821955,0.89,22.022038792,-0.061422991892
688819,天能股份,2022-04-30 00:00:00,8518375287.03,17.3411433596,-28.819,438097903.84,6.35,44.1933,0.45,13.073839529153,3.51,17.063271786,-2.864988218095
688789,宏华数科,2022-04-30 00:00:00,275812319.92,25.0529542031,14.8472,72992299.78,30.6,14.892,0.96,20.541723411974,4.79,45.3902175966,-0.028655480921
688728,格科微,2022-04-30 00:00:00,1734866190.0,-10.4615968514,-0.5341,241477602.0,-17.36,-25.7009,0.1,3.121759502105,3.15,33.7265785899,-0.003957267902
